Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,14.69,15.20,15.25,14.47,52241432
05-Jan-2009,15.07,14.91,15.29,14.81,57337312
06-Jan-2009,15.09,15.37,15.51,15.08,61664324
07-Jan-2009,14.79,14.44,15.06,14.34,131456072
08-Jan-2009,14.45,14.55,14.57,14.25,63104488
09-Jan-2009,14.59,14.15,14.60,14.02,45554900
12-Jan-2009,14.16,13.79,14.30,13.62,54088812
13-Jan-2009,13.59,13.67,14.18,13.45,65575872
14-Jan-2009,13.46,13.08,13.63,12.97,69568008
15-Jan-2009,13.01,13.29,13.45,12.71,74568248
16-Jan-2009,13.88,13.74,13.96,13.27,83994072
20-Jan-2009,13.56,12.86,13.74,12.81,71601248
21-Jan-2009,13.01,13.26,13.26,12.50,56643256
22-Jan-2009,12.83,12.82,13.07,12.55,72533392
23-Jan-2009,12.85,13.12,13.39,12.58,63162176
26-Jan-2009,13.08,13.38,13.58,13.03,49584784
27-Jan-2009,13.51,13.81,13.95,13.50,45629144
28-Jan-2009,14.13,14.01,14.27,13.79,57090240
29-Jan-2009,13.85,13.37,13.85,13.31,51355884
30-Jan-2009,13.45,12.90,13.50,12.90,47008964
02-Feb-2009,12.82,13.63,13.71,12.75,69912248
03-Feb-2009,13.67,13.73,13.79,13.29,56697084
04-Feb-2009,13.78,13.88,14.56,13.71,77701072
05-Feb-2009,13.65,14.25,14.40,13.53,61027296
06-Feb-2009,14.44,14.73,14.88,14.21,62677268
09-Feb-2009,14.64,14.91,15.05,14.54,64726568
10-Feb-2009,14.78,14.08,15.15,14.04,94001104
11-Feb-2009,14.26,14.08,14.32,13.73,57379212
12-Feb-2009,13.81,14.00,14.00,13.49,76368352
13-Feb-2009,13.91,13.88,14.26,13.85,55959672
17-Feb-2009,13.56,13.21,13.73,13.21,60689872
18-Feb-2009,13.32,13.36,13.70,13.09,51305548
19-Feb-2009,13.33,12.68,13.38,12.67,56178660
20-Feb-2009,12.53,12.78,13.02,12.53,73615456
23-Feb-2009,12.90,12.08,12.91,12.05,88416008
24-Feb-2009,12.17,12.73,12.81,12.09,74612648
25-Feb-2009,12.72,13.03,13.48,12.58,108225000
26-Feb-2009,13.32,12.71,13.60,12.66,69022600
27-Feb-2009,12.50,12.74,13.14,12.49,69765752
02-Mar-2009,12.51,12.31,13.02,12.31,64496128
03-Mar-2009,12.48,12.28,12.63,12.14,76599304
04-Mar-2009,12.70,12.76,13.05,12.36,84414824
05-Mar-2009,12.56,12.31,12.86,12.30,76106704
06-Mar-2009,12.43,12.41,12.92,12.07,79191872
09-Mar-2009,12.33,12.55,13.00,12.30,87062200
10-Mar-2009,12.80,13.92,13.95,12.75,92477928
11-Mar-2009,14.05,13.96,14.10,13.64,82111560
12-Mar-2009,14.24,14.52,14.60,13.88,84864040
13-Mar-2009,14.57,14.70,14.70,14.21,66636672
16-Mar-2009,14.79,14.25,14.85,14.14,72655776
17-Mar-2009,14.32,14.90,14.90,14.25,64956180
18-Mar-2009,14.90,15.24,15.41,14.72,91370280
19-Mar-2009,15.39,15.15,15.39,14.72,66563452
20-Mar-2009,15.19,14.65,15.40,14.35,84640664
23-Mar-2009,15.02,15.52,15.54,14.94,64172392
24-Mar-2009,15.26,15.00,15.41,15.00,59479364
25-Mar-2009,15.08,14.94,15.71,14.71,94539776
26-Mar-2009,15.23,15.82,15.89,15.18,77562656
27-Mar-2009,15.49,15.42,15.66,15.26,45701880
30-Mar-2009,15.09,14.72,15.10,14.48,55432952
31-Mar-2009,14.91,15.03,15.37,14.90,62049456
01-Apr-2009,14.77,15.03,15.32,14.62,75058456
02-Apr-2009,15.38,15.70,16.00,15.26,77690560
03-Apr-2009,15.63,15.95,15.96,15.35,51142796
06-Apr-2009,15.65,15.86,15.87,15.45,47656240
07-Apr-2009,15.60,15.45,15.78,15.26,52741760
08-Apr-2009,15.35,15.27,15.73,15.15,68332240
09-Apr-2009,15.62,15.98,16.07,15.60,58564772
13-Apr-2009,15.81,15.98,16.09,15.56,45423128
14-Apr-2009,15.98,16.01,16.39,15.80,92083528
15-Apr-2009,15.36,15.62,15.68,15.11,152727456
16-Apr-2009,15.84,15.89,15.93,15.40,68775064
17-Apr-2009,15.88,15.60,15.89,15.45,67299624
20-Apr-2009,15.36,15.00,15.37,15.00,66488952
21-Apr-2009,14.98,15.36,15.52,14.96,85054560
22-Apr-2009,15.19,15.67,16.11,15.08,95248112
23-Apr-2009,15.68,15.53,15.79,15.10,74285776
24-Apr-2009,15.61,15.62,15.74,15.30,67623624
27-Apr-2009,15.31,15.28,15.63,15.21,64376772
28-Apr-2009,15.12,15.05,15.41,15.04,55531584
29-Apr-2009,15.20,15.35,15.55,15.07,60822048
30-Apr-2009,15.61,15.78,16.16,15.50,77775160
01-May-2009,15.76,15.81,15.85,15.48,50858852
04-May-2009,16.29,16.66,16.74,16.14,88096272
05-May-2009,16.53,16.16,16.53,15.93,67908968
06-May-2009,16.43,16.12,16.44,15.97,66182704
07-May-2009,16.31,15.77,16.37,15.48,90338200
08-May-2009,15.87,15.29,15.93,15.20,94097952
11-May-2009,15.09,15.37,15.63,15.00,69499216
12-May-2009,15.49,15.21,15.53,15.00,73713952
13-May-2009,15.36,15.13,15.47,15.09,75854024
14-May-2009,15.16,15.54,15.69,15.15,71227024
15-May-2009,15.54,15.19,15.61,15.15,61813240
18-May-2009,15.32,15.52,15.55,15.18,44700708
19-May-2009,15.47,15.65,15.91,15.27,59048112
20-May-2009,15.81,15.58,16.05,15.49,60340200
21-May-2009,15.36,15.18,15.43,15.05,59548480
22-May-2009,15.23,15.05,15.26,15.01,44344832
26-May-2009,15.01,15.48,15.51,15.00,64344768
27-May-2009,15.50,15.46,15.86,15.34,60491052
28-May-2009,15.56,15.72,15.72,15.15,59112024
29-May-2009,15.75,15.72,15.79,15.24,77294288
01-Jun-2009,16.03,16.50,16.59,15.97,75469416
02-Jun-2009,16.25,16.19,16.54,16.05,58400644
03-Jun-2009,15.97,15.94,16.04,15.72,49798904
04-Jun-2009,15.98,16.13,16.25,15.88,49082776
05-Jun-2009,16.30,15.92,16.45,15.79,62834104
08-Jun-2009,15.86,15.92,16.10,15.61,44069928
09-Jun-2009,16.21,16.42,16.61,16.13,64051288
10-Jun-2009,16.58,16.46,16.61,16.15,48785312
11-Jun-2009,16.49,16.35,16.70,16.30,53228248
12-Jun-2009,16.24,16.31,16.31,16.02,47625572
15-Jun-2009,16.05,15.98,16.17,15.72,60400952
16-Jun-2009,16.05,15.86,16.19,15.80,54084696
17-Jun-2009,15.83,16.14,16.29,15.81,59351232
18-Jun-2009,16.16,15.87,16.22,15.84,57990404
19-Jun-2009,16.05,16.01,16.18,15.85,71510904
22-Jun-2009,15.90,15.68,16.17,15.63,70842608
23-Jun-2009,15.88,15.81,15.99,15.61,70659504
24-Jun-2009,16.04,16.10,16.32,15.99,53330324
25-Jun-2009,16.05,16.31,16.35,15.91,55505872
26-Jun-2009,16.18,16.29,16.43,16.14,70257656
29-Jun-2009,16.45,16.38,16.66,16.27,59317504
30-Jun-2009,16.38,16.55,16.64,16.24,67490992
01-Jul-2009,16.67,17.04,17.31,16.67,92514920
02-Jul-2009,16.87,16.72,16.95,16.68,54945440
06-Jul-2009,16.61,16.54,16.84,16.37,47324216
07-Jul-2009,16.83,16.25,16.93,16.20,69202656
08-Jul-2009,16.31,15.94,16.36,15.78,80896536
09-Jul-2009,16.09,16.02,16.28,15.96,65658164
10-Jul-2009,15.98,16.04,16.22,15.86,51148548
13-Jul-2009,16.15,16.49,16.54,15.90,61800920
14-Jul-2009,16.50,16.83,16.89,16.46,95548648
15-Jul-2009,17.99,18.05,18.19,17.72,186137808
16-Jul-2009,17.94,18.50,18.59,17.94,90052824
17-Jul-2009,18.50,18.79,18.81,18.25,84212352
20-Jul-2009,18.86,18.90,18.93,18.52,77865856
21-Jul-2009,18.90,18.90,18.92,18.51,63780372
22-Jul-2009,18.87,19.14,19.28,18.84,141096160
23-Jul-2009,19.09,19.48,19.58,18.99,151443232
24-Jul-2009,19.13,19.36,19.40,19.01,51690056
27-Jul-2009,19.29,19.47,19.49,19.15,42326004
28-Jul-2009,19.29,19.37,19.46,19.05,60037068
29-Jul-2009,19.29,19.40,19.44,19.11,50332692
30-Jul-2009,19.57,19.33,19.80,19.30,60640880
31-Jul-2009,19.34,19.25,19.56,19.25,47557572
03-Aug-2009,19.48,19.37,19.56,19.18,44330784
04-Aug-2009,19.21,19.32,19.38,19.15,46880752
05-Aug-2009,19.27,18.86,19.30,18.86,60034936
06-Aug-2009,18.93,18.70,19.18,18.56,66862060
07-Aug-2009,18.91,18.50,19.00,18.50,59441864
10-Aug-2009,18.60,18.76,18.83,18.56,46906040
11-Aug-2009,18.70,18.64,18.95,18.62,32774092
12-Aug-2009,18.69,18.81,19.09,18.66,52947672
13-Aug-2009,18.97,19.05,19.08,18.78,44096124
14-Aug-2009,18.97,18.77,19.00,18.58,43590756
17-Aug-2009,18.43,18.45,18.58,18.41,48360484
18-Aug-2009,18.50,18.77,18.87,18.46,42482460
19-Aug-2009,18.55,18.80,18.89,18.51,48168720
20-Aug-2009,18.73,18.71,18.81,18.56,44859820
21-Aug-2009,18.89,18.89,18.92,18.55,55163248
24-Aug-2009,18.97,18.76,19.00,18.66,38709560
25-Aug-2009,18.76,19.10,19.25,18.74,62059436
26-Aug-2009,19.21,19.43,19.49,19.13,61587576
27-Aug-2009,19.35,19.47,19.53,19.16,51410704
28-Aug-2009,20.26,20.25,20.65,20.17,105111128
31-Aug-2009,20.09,20.32,20.38,19.97,53486160
01-Sep-2009,20.22,19.72,20.58,19.66,74478240
02-Sep-2009,19.62,19.47,19.83,19.47,41576200
03-Sep-2009,19.61,19.42,19.63,19.23,47507444
04-Sep-2009,19.43,19.64,19.69,19.28,47277724
