Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,8.07,8.71,8.77,8.04,12431207
05-Jan-2009,8.61,8.87,9.07,8.55,17650524
06-Jan-2009,9.13,9.17,9.43,8.93,16462864
07-Jan-2009,8.96,8.62,8.96,8.31,21753456
08-Jan-2009,8.51,8.40,8.51,7.88,25364764
09-Jan-2009,8.40,7.93,8.40,7.91,19034952
12-Jan-2009,7.93,7.61,7.97,7.50,16139494
13-Jan-2009,7.35,7.65,7.94,7.21,45621552
14-Jan-2009,7.38,7.31,7.47,7.20,24374542
15-Jan-2009,7.35,7.57,7.69,7.20,24956500
16-Jan-2009,7.78,7.99,8.06,7.53,20783032
20-Jan-2009,7.97,7.21,8.00,7.15,17649512
21-Jan-2009,7.35,7.56,7.61,7.08,16218210
22-Jan-2009,7.32,7.42,7.62,7.15,13693372
23-Jan-2009,7.21,7.71,7.94,7.20,15840329
26-Jan-2009,7.74,7.97,8.20,7.62,14545368
27-Jan-2009,8.10,8.44,8.50,8.07,18134000
28-Jan-2009,8.74,8.79,8.93,8.46,18094800
29-Jan-2009,8.50,8.28,8.60,8.24,10329002
30-Jan-2009,8.22,7.95,8.44,7.85,12668918
02-Feb-2009,7.83,8.38,8.47,7.79,14450934
03-Feb-2009,8.40,8.48,8.55,8.17,9923639
04-Feb-2009,8.50,8.72,9.15,8.50,19485974
05-Feb-2009,8.49,9.36,9.46,8.40,22986136
06-Feb-2009,9.39,9.87,9.93,9.23,28952636
09-Feb-2009,9.83,9.74,9.97,9.47,17904324
10-Feb-2009,9.73,9.32,9.86,9.14,28241442
11-Feb-2009,8.57,8.15,8.89,7.86,49588400
12-Feb-2009,7.97,8.32,8.37,7.86,25600670
13-Feb-2009,8.13,8.31,8.41,8.07,19107780
17-Feb-2009,8.00,7.83,8.19,7.80,19494354
18-Feb-2009,7.83,8.04,8.30,7.82,16157315
19-Feb-2009,8.20,7.42,8.27,7.42,18601684
20-Feb-2009,7.32,7.61,7.73,7.25,19251356
23-Feb-2009,7.74,7.26,7.78,7.21,16989732
24-Feb-2009,7.30,7.91,7.92,7.29,16488108
25-Feb-2009,7.89,8.00,8.24,7.62,17559340
26-Feb-2009,8.28,8.26,8.54,8.16,27939104
27-Feb-2009,8.05,8.28,8.47,7.99,18886554
02-Mar-2009,8.08,7.58,8.25,7.55,17501556
03-Mar-2009,7.72,7.88,8.18,7.47,26036598
04-Mar-2009,8.09,8.46,8.70,8.02,27716928
05-Mar-2009,8.34,8.26,8.68,8.22,23881224
06-Mar-2009,8.26,8.39,8.69,8.15,24369992
09-Mar-2009,8.33,8.30,8.96,8.28,17069180
10-Mar-2009,8.60,9.05,9.21,8.52,31371436
11-Mar-2009,9.05,9.30,11.85,8.90,21625364
12-Mar-2009,9.27,9.85,9.95,9.15,40118080
13-Mar-2009,9.71,9.80,9.94,9.55,29879832
16-Mar-2009,9.90,9.42,9.91,9.34,17485326
17-Mar-2009,9.45,9.89,9.91,9.33,25136944
18-Mar-2009,9.74,10.20,10.49,9.73,33989480
19-Mar-2009,10.27,10.08,10.27,10.01,20566204
20-Mar-2009,10.23,9.53,10.24,9.27,27341976
23-Mar-2009,9.83,10.22,10.24,9.61,20404754
24-Mar-2009,9.97,9.78,10.06,9.73,27872504
25-Mar-2009,10.08,9.94,10.40,9.56,31100124
26-Mar-2009,10.10,10.56,10.58,9.99,33344652
27-Mar-2009,10.45,10.46,10.70,10.30,18297540
30-Mar-2009,10.06,9.79,10.19,9.65,19505228
31-Mar-2009,9.94,9.86,10.10,9.79,20132366
01-Apr-2009,9.74,10.11,10.20,9.37,22202396
02-Apr-2009,10.49,10.58,10.77,10.34,25075638
03-Apr-2009,10.59,11.32,11.35,10.41,25080520
06-Apr-2009,11.13,11.35,11.45,10.98,22187152
07-Apr-2009,11.13,10.96,11.25,10.89,15196558
08-Apr-2009,11.08,11.41,11.44,10.99,18296540
09-Apr-2009,11.70,12.04,12.08,11.61,22610384
13-Apr-2009,11.89,11.65,11.90,11.39,19193732
14-Apr-2009,11.49,11.72,12.00,11.44,17808650
15-Apr-2009,11.31,11.39,11.44,10.91,26134214
16-Apr-2009,11.60,11.68,11.82,11.16,25969228
17-Apr-2009,11.68,11.76,11.87,11.40,17394626
20-Apr-2009,11.31,11.05,11.41,10.99,14766609
21-Apr-2009,10.90,11.02,11.48,10.74,23304830
22-Apr-2009,10.92,11.35,11.81,10.74,600
23-Apr-2009,11.46,11.17,11.56,10.82,18854056
24-Apr-2009,11.28,11.43,11.51,11.01,18988118
27-Apr-2009,11.28,11.02,11.60,10.95,19677554
28-Apr-2009,10.88,11.05,11.28,10.78,15862548
29-Apr-2009,11.10,10.88,11.15,10.75,21497436
30-Apr-2009,11.09,11.48,11.80,11.00,27761858
01-May-2009,11.45,11.67,11.94,11.44,21016176
04-May-2009,11.87,12.30,12.39,11.71,23194768
05-May-2009,12.03,11.80,12.11,11.55,20930348
06-May-2009,11.93,11.56,12.04,11.33,23377136
07-May-2009,11.82,10.73,11.82,10.58,32229818
08-May-2009,10.50,9.25,10.50,9.11,73264096
11-May-2009,9.10,9.43,9.66,9.02,25968446
12-May-2009,9.64,8.98,9.64,8.80,30034526
13-May-2009,8.92,8.40,8.97,8.33,31712406
14-May-2009,8.39,8.52,8.70,8.33,25448360
15-May-2009,8.58,8.74,9.04,8.48,19507656
18-May-2009,8.96,9.27,9.33,8.94,23464976
19-May-2009,9.33,9.45,9.56,9.18,21501432
20-May-2009,9.62,9.73,10.25,9.58,32738452
21-May-2009,9.61,9.67,9.80,9.40,24142688
22-May-2009,9.67,9.82,9.96,9.49,17956672
26-May-2009,9.73,10.35,10.43,9.63,21638440
27-May-2009,10.30,10.37,10.68,10.20,20355412
28-May-2009,10.53,10.51,10.60,10.06,24882584
29-May-2009,10.52,10.43,10.54,10.07,20860144
01-Jun-2009,10.55,10.94,11.00,10.51,25569016
02-Jun-2009,10.94,10.85,11.18,10.65,22699536
03-Jun-2009,10.71,10.51,10.75,10.25,18392112
04-Jun-2009,10.54,10.89,10.91,10.53,16831390
05-Jun-2009,11.09,10.83,11.09,10.70,14001708
08-Jun-2009,10.75,10.77,10.92,10.50,11853468
09-Jun-2009,10.92,11.36,11.48,10.84,18128372
10-Jun-2009,11.42,11.72,11.79,11.17,20835632
11-Jun-2009,11.74,11.57,12.20,11.50,20879296
12-Jun-2009,11.40,11.51,11.55,11.14,14874959
15-Jun-2009,11.30,11.32,11.45,11.12,11131192
16-Jun-2009,11.32,11.01,11.46,10.85,14872991
17-Jun-2009,11.18,11.28,11.39,10.75,19975312
18-Jun-2009,11.24,11.06,11.45,10.94,14163420
19-Jun-2009,11.17,11.18,11.45,11.03,18689086
22-Jun-2009,11.22,10.55,11.22,10.51,14371504
23-Jun-2009,10.65,10.50,10.67,10.09,14744487
24-Jun-2009,10.63,10.85,11.10,10.63,12877302
25-Jun-2009,10.75,11.42,11.44,10.64,21769252
26-Jun-2009,11.37,11.57,11.61,11.27,12849200
29-Jun-2009,11.60,11.57,11.78,11.45,12751389
30-Jun-2009,11.53,11.29,11.69,11.08,14749123
01-Jul-2009,11.36,11.34,11.49,11.15,17410458
02-Jul-2009,10.97,10.90,11.11,10.75,13809139
06-Jul-2009,10.89,10.55,10.90,10.37,18811420
07-Jul-2009,10.59,10.09,10.65,10.06,26825872
08-Jul-2009,10.15,10.11,10.18,9.71,30147740
09-Jul-2009,10.28,10.33,10.50,10.25,17864270
10-Jul-2009,10.33,10.37,10.44,10.11,13000142
13-Jul-2009,10.58,10.49,10.58,9.95,13900246
14-Jul-2009,10.57,10.71,10.75,10.45,11323552
15-Jul-2009,11.10,11.15,11.37,11.00,25570392
16-Jul-2009,11.27,11.73,11.77,11.21,23804770
17-Jul-2009,11.73,12.07,12.11,11.61,21259858
20-Jul-2009,12.17,12.22,12.35,12.01,19568960
21-Jul-2009,12.19,11.97,12.24,11.69,23536136
22-Jul-2009,11.73,12.27,12.38,11.65,15022607
23-Jul-2009,12.29,13.00,13.04,12.16,26158568
24-Jul-2009,12.60,12.96,13.00,12.52,16266239
27-Jul-2009,12.84,13.02,13.21,12.72,16937032
28-Jul-2009,12.93,13.04,13.18,12.82,14084118
29-Jul-2009,12.89,12.78,12.97,12.65,9350064
30-Jul-2009,13.00,12.88,13.17,12.77,11714316
31-Jul-2009,12.88,12.93,13.11,12.58,13539473
03-Aug-2009,13.24,13.28,13.43,12.99,11805057
04-Aug-2009,13.05,13.37,13.60,13.03,17385156
05-Aug-2009,13.29,13.40,13.50,13.13,15270162
06-Aug-2009,13.45,13.12,13.69,13.04,23939684
07-Aug-2009,13.83,13.71,14.23,13.52,35047440
10-Aug-2009,13.81,13.26,14.01,13.18,17334738
11-Aug-2009,13.17,12.95,13.37,12.88,12052315
12-Aug-2009,12.96,13.43,13.57,12.95,15873815
13-Aug-2009,13.53,13.83,13.88,13.29,14102358
14-Aug-2009,13.81,13.42,13.83,13.24,10678990
17-Aug-2009,13.01,12.86,13.05,12.72,11625926
18-Aug-2009,12.86,13.33,13.48,12.85,15904999
19-Aug-2009,13.13,13.18,13.26,13.00,13825709
20-Aug-2009,13.12,13.70,13.76,13.09,20499668
21-Aug-2009,13.81,13.93,13.95,13.53,15185829
24-Aug-2009,13.85,13.54,14.00,13.46,11536902
25-Aug-2009,13.61,13.66,13.80,13.38,11102660
26-Aug-2009,13.63,13.82,13.85,13.58,10858056
27-Aug-2009,13.88,14.01,14.07,13.73,13778708
28-Aug-2009,14.39,14.73,15.03,14.37,22099716
31-Aug-2009,14.56,14.52,14.63,14.33,10794832
01-Sep-2009,14.51,14.03,14.92,13.95,18423584
02-Sep-2009,14.05,14.23,14.37,13.97,10117485
03-Sep-2009,14.23,14.57,14.59,14.19,13350482
04-Sep-2009,14.51,15.11,15.21,14.51,12826901
08-Sep-2009,15.22,15.53,15.53,15.10,13743363
09-Sep-2009,15.50,15.96,15.99,15.28,14292564
10-Sep-2009,16.01,16.47,16.49,15.83,15199959
11-Sep-2009,16.43,16.32,16.49,16.20,17820452
14-Sep-2009,16.08,16.05,16.21,15.91,12263623
15-Sep-2009,16.20,16.38,16.58,16.05,13653373
16-Sep-2009,16.34,15.94,16.37,15.70,17676546
17-Sep-2009,15.90,15.24,15.90,14.97,23078224
18-Sep-2009,15.39,15.22,15.50,15.10,15118521
21-Sep-2009,15.04,15.15,15.41,14.91,14720276
22-Sep-2009,15.26,15.18,15.35,15.06,9035513
23-Sep-2009,15.27,14.94,15.40,14.92,11976668
24-Sep-2009,15.19,14.74,15.19,14.69,13823368
25-Sep-2009,14.66,14.50,14.73,14.39,9439456
28-Sep-2009,14.55,14.83,15.20,14.55,11697265
29-Sep-2009,14.92,14.56,15.10,14.53,11775125
30-Sep-2009,14.86,15.03,15.21,14.53,21898808
01-Oct-2009,14.98,13.96,14.98,13.95,24988944
02-Oct-2009,13.82,13.85,14.15,13.74,15311897
05-Oct-2009,14.00,13.78,14.05,13.54,18856976
06-Oct-2009,13.95,14.01,14.25,13.85,19034072
07-Oct-2009,13.91,13.90,14.06,13.75,11490196
08-Oct-2009,13.98,13.99,14.02,13.49,31044548
09-Oct-2009,13.91,14.17,14.19,13.89,15464903
12-Oct-2009,13.93,14.01,14.28,13.92,12478420
13-Oct-2009,14.09,13.96,14.25,13.83,15053078
14-Oct-2009,14.50,13.94,14.50,13.87,27548688
15-Oct-2009,13.92,13.53,14.05,13.44,27310684
16-Oct-2009,13.36,13.22,13.40,12.98,25473104
19-Oct-2009,13.33,13.70,13.81,13.22,17390774
20-Oct-2009,13.93,13.71,14.03,13.60,16504500
21-Oct-2009,13.66,13.38,13.87,13.31,12600323
22-Oct-2009,13.31,13.47,13.54,13.08,9484638
23-Oct-2009,13.65,13.15,13.65,13.07,10739283
26-Oct-2009,13.25,12.98,13.45,12.91,12042366
27-Oct-2009,12.92,12.54,13.11,12.41,14795921
28-Oct-2009,12.26,12.02,12.53,11.96,19343168
29-Oct-2009,12.21,12.55,12.61,12.10,15920836
30-Oct-2009,12.49,11.96,12.53,11.90,15103538
02-Nov-2009,11.94,12.07,12.33,11.73,14828492
03-Nov-2009,11.68,12.01,12.07,11.56,21913452
04-Nov-2009,12.10,11.98,12.23,11.93,22929592
05-Nov-2009,12.12,12.27,12.39,12.08,23878820
06-Nov-2009,13.04,13.16,13.43,12.88,41027752
09-Nov-2009,13.34,13.46,13.65,13.33,20457498
10-Nov-2009,13.51,13.13,13.51,12.96,19541452
11-Nov-2009,13.35,13.50,13.82,13.33,21790530
12-Nov-2009,13.62,13.46,13.85,13.42,12646532
13-Nov-2009,13.45,13.56,13.63,13.39,9713082
16-Nov-2009,13.68,13.75,13.91,13.61,10070737
17-Nov-2009,13.76,13.73,13.76,13.47,8753532
18-Nov-2009,13.60,13.52,13.65,13.29,11391505
19-Nov-2009,13.23,12.98,13.23,12.74,20848440
20-Nov-2009,12.68,12.90,12.96,12.65,10673106
23-Nov-2009,13.09,13.00,13.33,12.94,9774517
24-Nov-2009,12.94,12.92,13.03,12.71,10466498
25-Nov-2009,13.07,13.07,13.25,12.98,11048677
27-Nov-2009,12.60,12.79,12.94,12.53,6998289
30-Nov-2009,12.84,13.06,13.07,12.70,12746087
01-Dec-2009,13.13,13.32,13.47,13.06,11549011
02-Dec-2009,13.35,13.72,13.75,13.27,15058532
03-Dec-2009,13.88,13.83,14.13,13.81,16500826
04-Dec-2009,14.09,14.26,14.32,13.87,20614252
07-Dec-2009,15.85,16.09,16.45,15.10,68304600
08-Dec-2009,15.83,15.31,15.90,15.22,26892516
09-Dec-2009,15.47,15.69,15.81,15.32,16792632
10-Dec-2009,15.80,15.41,15.90,15.36,10426008
11-Dec-2009,15.54,15.21,15.56,15.17,10422268
14-Dec-2009,15.43,15.67,15.72,15.26,10138899
15-Dec-2009,15.56,15.65,15.91,15.52,11153755
16-Dec-2009,16.21,16.91,17.09,16.12,42094220
17-Dec-2009,16.96,16.83,17.48,16.58,25404828
18-Dec-2009,16.97,16.82,17.03,16.62,20326856
21-Dec-2009,16.92,17.42,17.49,16.90,10695619
22-Dec-2009,17.42,17.88,18.06,17.40,19829444
23-Dec-2009,18.05,18.13,18.18,17.82,11057471
24-Dec-2009,18.18,18.09,18.21,18.02,3420300
28-Dec-2009,18.06,17.80,18.22,17.62,11630662
29-Dec-2009,17.74,18.02,18.07,17.70,11896928
30-Dec-2009,18.19,18.67,18.78,18.06,17602444
31-Dec-2009,18.71,18.68,18.95,18.66,17509892
04-Jan-2010,18.51,18.49,18.62,18.11,20008816
05-Jan-2010,18.42,18.76,18.96,18.42,18217440
06-Jan-2010,18.75,18.88,18.92,18.57,16118367
07-Jan-2010,18.78,18.51,18.86,18.37,13694746
08-Jan-2010,18.36,18.55,18.68,18.25,11954399
11-Jan-2010,18.65,18.29,18.73,18.03,13916384
12-Jan-2010,18.02,17.67,18.09,17.29,15687221
13-Jan-2010,17.79,17.91,17.97,17.10,12723628
14-Jan-2010,17.69,17.63,17.82,17.33,15220082
15-Jan-2010,17.50,17.11,17.65,16.88,20456224
19-Jan-2010,16.98,17.43,17.54,16.93,13633346
20-Jan-2010,17.21,17.35,17.43,16.98,17993452
21-Jan-2010,17.35,17.05,17.66,16.89,15215785
22-Jan-2010,16.85,16.46,17.16,16.36,26698170
25-Jan-2010,16.73,16.74,17.06,16.61,16091839
26-Jan-2010,16.66,16.21,16.77,16.20,17867320
27-Jan-2010,16.20,16.65,16.71,16.02,20313264
28-Jan-2010,16.78,16.09,16.84,15.86,17195436
29-Jan-2010,16.27,15.39,16.45,15.15,19367692
01-Feb-2010,15.45,16.57,16.60,15.32,23745744
02-Feb-2010,16.51,16.74,16.95,16.46,21245300
03-Feb-2010,16.59,16.88,16.95,16.51,14057468
04-Feb-2010,16.73,15.90,16.73,15.72,19586932
05-Feb-2010,15.88,16.22,16.26,15.60,15121322
08-Feb-2010,16.17,16.19,16.58,15.87,11129111
09-Feb-2010,16.45,16.06,16.53,15.90,23253996
10-Feb-2010,16.16,16.37,16.52,16.05,13395610
11-Feb-2010,16.63,17.12,17.30,16.51,17400052
12-Feb-2010,17.00,17.35,17.70,16.81,19505376
16-Feb-2010,17.58,17.67,17.74,17.37,11429588
17-Feb-2010,17.89,17.84,17.90,17.33,21913908
18-Feb-2010,16.86,16.67,16.95,16.21,37894000
19-Feb-2010,16.60,16.58,16.78,16.50,12765612
22-Feb-2010,16.65,16.61,16.90,16.50,11453055
23-Feb-2010,16.66,16.21,16.73,16.04,12244399
24-Feb-2010,16.35,16.55,16.71,16.30,11147859
25-Feb-2010,16.17,16.40,16.44,15.76,14424221
26-Feb-2010,16.32,16.20,16.44,16.10,9835398
01-Mar-2010,16.21,16.85,16.93,16.08,13896707
02-Mar-2010,17.00,16.84,17.21,16.72,13467030
03-Mar-2010,16.94,16.63,17.03,16.49,9982441
04-Mar-2010,16.70,16.66,16.83,16.45,13936496
05-Mar-2010,16.54,17.17,17.29,16.54,15822490
08-Mar-2010,17.18,16.92,17.23,16.85,10983776
09-Mar-2010,17.09,17.55,17.72,17.08,20773944
10-Mar-2010,17.50,17.59,17.78,17.49,10464262
11-Mar-2010,17.45,17.19,17.51,17.12,13516425
12-Mar-2010,17.38,17.25,17.43,17.16,13008742
15-Mar-2010,17.23,17.16,17.40,17.00,8972798
16-Mar-2010,17.15,17.75,17.86,17.14,16625049
17-Mar-2010,17.86,18.10,18.34,17.86,16279945
18-Mar-2010,18.13,17.46,18.13,17.30,18525580
19-Mar-2010,17.72,17.25,17.77,17.03,14615827
22-Mar-2010,17.03,17.53,17.60,17.03,10885414
23-Mar-2010,17.66,17.89,17.98,17.54,12340359
24-Mar-2010,17.74,17.29,17.79,17.25,10909452
25-Mar-2010,17.54,17.34,17.65,17.30,12380208
26-Mar-2010,17.49,17.34,17.67,17.20,8617883
29-Mar-2010,17.45,17.56,17.60,17.21,9861364
30-Mar-2010,17.76,17.63,17.85,17.33,8103321
31-Mar-2010,17.56,17.40,17.64,17.31,9745918
01-Apr-2010,17.48,17.22,17.68,17.04,8491734
05-Apr-2010,17.33,17.48,17.51,17.31,10340826
06-Apr-2010,17.26,17.05,17.30,16.75,20212420
07-Apr-2010,16.94,17.16,17.45,16.80,20438250
08-Apr-2010,17.05,16.88,17.17,16.79,25946284
09-Apr-2010,16.84,16.99,17.05,16.75,20440074
12-Apr-2010,17.01,17.30,17.37,16.98,13662488
13-Apr-2010,17.37,17.66,17.72,17.30,16110839
14-Apr-2010,18.04,17.88,18.13,17.60,22517916
15-Apr-2010,17.94,18.01,18.12,17.76,23944340
16-Apr-2010,17.28,17.06,17.35,16.68,47946584
19-Apr-2010,16.93,16.98,17.03,16.41,27362586
20-Apr-2010,17.10,17.04,17.28,16.82,16955456
21-Apr-2010,17.13,16.60,17.15,16.40,22405934
22-Apr-2010,16.33,16.67,16.72,16.10,16423998
23-Apr-2010,16.62,16.44,16.66,16.15,18823056
26-Apr-2010,16.46,16.60,16.80,16.43,12278219
27-Apr-2010,16.48,16.13,16.65,16.08,15167758
28-Apr-2010,16.12,16.16,16.39,15.83,16808344
29-Apr-2010,16.21,16.65,16.67,15.97,24679070
30-Apr-2010,16.45,15.71,16.48,15.70,26705598
03-May-2010,15.79,15.54,15.88,15.30,26977134
04-May-2010,15.30,14.75,15.33,14.53,32785072
05-May-2010,14.45,14.50,14.87,14.32,33273832
06-May-2010,14.40,14.20,14.70,13.04,25077848
07-May-2010,14.33,13.96,14.33,13.46,28842768
10-May-2010,14.80,14.56,14.98,14.40,24482282
11-May-2010,14.42,14.40,14.69,14.29,20733496
12-May-2010,14.50,14.68,14.76,14.41,22535634
13-May-2010,14.62,14.65,15.29,14.51,31299964
14-May-2010,13.66,12.96,13.70,12.60,62327668
17-May-2010,12.98,12.99,13.15,12.58,21407596
18-May-2010,13.10,12.56,13.18,12.49,16855852
19-May-2010,12.50,12.76,12.78,12.41,20665122
20-May-2010,12.39,12.46,12.76,12.01,28228340
21-May-2010,12.10,12.73,13.07,12.10,26743094
24-May-2010,12.69,12.36,12.84,12.32,16621679
25-May-2010,11.97,12.69,12.75,11.85,24169280
26-May-2010,13.20,12.75,13.45,12.71,24875142
27-May-2010,13.07,13.50,13.50,13.04,17839388
28-May-2010,13.48,13.14,13.48,12.94,13629704
01-Jun-2010,12.96,12.58,13.11,12.57,13189584
02-Jun-2010,12.60,12.72,12.73,12.52,16232806
03-Jun-2010,12.46,12.70,12.73,12.42,14659563
04-Jun-2010,12.33,12.10,12.55,12.03,16786308
07-Jun-2010,12.15,11.50,12.23,11.45,14438937
08-Jun-2010,11.44,11.18,11.45,10.89,24193644
09-Jun-2010,11.24,10.91,11.54,10.87,17429518
10-Jun-2010,11.13,11.35,11.40,11.10,15294128
11-Jun-2010,11.23,11.61,11.65,11.20,11053621
14-Jun-2010,11.78,11.36,11.80,11.33,9377936
15-Jun-2010,11.49,11.92,11.98,11.47,13216519
16-Jun-2010,11.84,11.77,11.95,11.61,9161955
17-Jun-2010,12.18,12.22,12.25,11.76,21483914
18-Jun-2010,12.29,12.30,12.45,12.20,23325152
21-Jun-2010,12.56,12.01,12.59,11.90,14495824
22-Jun-2010,12.16,11.56,12.31,11.50,20454094
23-Jun-2010,11.67,11.69,11.81,11.34,15351952
24-Jun-2010,11.62,11.11,11.68,11.07,18132472
25-Jun-2010,11.19,11.08,11.20,10.90,12686525
28-Jun-2010,11.16,11.10,11.26,10.90,9300742
29-Jun-2010,10.86,10.48,10.87,10.41,16529782
30-Jun-2010,10.50,10.21,10.61,10.21,15579218
01-Jul-2010,10.24,10.38,10.45,9.93,18426098
02-Jul-2010,10.42,10.25,10.44,9.90,18428400
06-Jul-2010,10.21,10.14,10.54,10.05,17800488
07-Jul-2010,10.18,10.63,10.69,10.16,15213948
08-Jul-2010,10.70,10.31,10.71,10.18,19585468
09-Jul-2010,10.36,10.35,10.42,10.22,14291233
12-Jul-2010,10.35,10.54,10.67,10.34,14137494
13-Jul-2010,10.71,10.92,10.99,10.65,18082840
14-Jul-2010,11.40,11.03,11.48,10.87,33896964
15-Jul-2010,11.04,10.72,11.05,10.59,23827154
16-Jul-2010,10.72,10.05,10.75,10.01,32211300
19-Jul-2010,10.19,10.46,10.50,10.12,19960944
20-Jul-2010,10.19,10.72,10.78,10.10,29024686
21-Jul-2010,10.82,10.37,10.83,10.27,15623424
22-Jul-2010,10.48,10.54,10.65,10.42,11565283
23-Jul-2010,10.53,10.36,10.54,10.26,20440044
26-Jul-2010,10.33,10.55,10.59,10.17,17088616
27-Jul-2010,10.58,10.46,10.60,10.33,17087724
28-Jul-2010,10.29,10.13,10.47,10.10,33020184
29-Jul-2010,9.40,9.13,9.60,9.07,66612352
30-Jul-2010,9.06,9.19,9.35,8.92,24616930
02-Aug-2010,9.35,9.18,9.39,9.14,22926456
03-Aug-2010,9.11,8.94,9.12,8.87,23886028
04-Aug-2010,9.02,9.32,9.35,8.98,21394100
05-Aug-2010,9.35,9.44,9.46,9.18,20019084
06-Aug-2010,9.40,9.55,9.65,9.32,18504102
09-Aug-2010,9.65,9.64,9.66,9.40,11662638
10-Aug-2010,9.48,9.24,9.50,9.20,19313972
11-Aug-2010,9.05,8.88,9.05,8.85,19903666
12-Aug-2010,8.72,8.96,9.16,8.65,33521414
13-Aug-2010,9.25,9.39,9.52,9.23,44943716
16-Aug-2010,9.26,9.15,9.45,9.03,20355824
17-Aug-2010,9.24,9.27,9.44,9.15,12036885
18-Aug-2010,9.24,9.32,9.40,9.18,8822997
19-Aug-2010,9.42,9.88,9.91,9.37,40377440
20-Aug-2010,9.81,9.97,10.21,9.80,32632824
